요일,기상상태,가해운전자 성별,가해운전자 연령,시간대,월,도로위험도
일요일,맑음/흐림,남,65세 이상,주간,4월,0.068
토요일,맑음/흐림,남,25-64세,주간,5월,3.572
토요일,맑음/흐림,남,25-64세,주간,5월,2.336
수요일,비,남,25-64세,주간,5월,3.504
목요일,맑음/흐림,남,24세 이하,주간,5월,1.168
수요일,맑음/흐림,남,25-64세,주간,5월,0.068
토요일,맑음/흐림,남,25-64세,주간,5월,1.168
금요일,맑음/흐림,남,25-64세,야간,6월,1.304
목요일,맑음/흐림,남,25-64세,주간,6월,2.404
금요일,맑음/흐림,남,25-64세,야간,6월,1.168
토요일,비,남,25-64세,주간,6월,2.336
월요일,맑음/흐림,남,25-64세,야간,7월,0.033
월요일,비,남,25-64세,야간,8월,1.168
월요일,맑음/흐림,남,25-64세,주간,8월,0.068
수요일,비,남,25-64세,주간,8월,4.74
수요일,맑음/흐림,남,25-64세,주간,8월,2.336
수요일,맑음/흐림,남,65세 이상,주간,8월,0.068
수요일,맑음/흐림,남,25-64세,주간,9월,2.404
화요일,맑음/흐림,여,25-64세,주간,9월,4.672
수요일,맑음/흐림,남,25-64세,주간,9월,0.136
수요일,맑음/흐림,남,25-64세,주간,9월,3.776
토요일,맑음/흐림,남,25-64세,주간,10월,0.068
수요일,맑음/흐림,남,65세 이상,주간,10월,11.168
